Business Name,Zip Code,License Number,License Type,City
DO VALLE LLC,064050000,273456,22S,BRANFORD
DOGMASTER DISTILLERY LLC,652014954,220445,LMS,COLUMBIA
DOMAINE DEMARIA SOTER LLC,971110000,148291,22S,CARLTON
DOMAINE GAYDA IMPORTS LLC,331765824,277422,LS,MIAMI
DOMAINE SERENE VINEYARDS & WINERY INC.,971147227,226063,22S,DAYTON
DON SEBASTIANI & SONS INT'L WINE NEGOCIA,945587535,244010,LS,NAPA
DONATI FAMILY VINEYARD INC.,934658798,206200,22S,TEMPLETON
DONELAN FAMILY WINE CELLARS LLC,954037417,191421,22S,SANTA ROSA
DOSSEY VINEYARDS, LLC,420039280,267183,22S,PADUCAH
DOUBLE DIAMOND DISTILLERY LLC,804240000,199720,LS,BRECKENRIDGE
DOUBLE DOWN SPIRITS LLC,917523500,224311,LS,JURUPA VALLEY
DOUBLE SHIFT BREWING COMPANY LLC,64108,274016,MICB,KANSAS CITY
DOWNWARD DOG WINE LLC,741052561,264163,22S,TULSA
DOYNA LIMITED,070362415,160434,LS,LINDEN
DOZORTSEV & SONS ENTERPRISES LTD.,112321138,159332,LS,BROOKLYN
DRAKE MAKES WINE, INC,931033680,269607,22S,SANTA BARBARA
DREW, JASON J. AND MOLLY N.,95432,280503,22S,ELK
DREYER WINE LLC,940623607,113711,22S,WOODSIDE
DREYFUS ASHBY INC.,100176705,37286,LS,NEW YORK
DRG IMPORTS LLC,232200000,239550,22S,RICHMOND
DRIFTLESS GLEN DISTILLERY LLC,539132558,278808,LS,BARABOO
DRY CREEK VINEYARD INC.,954489713,140962,22S,HEALDSBURG
DUBIOUS CLAIMS BREWING LLC,640242134,260096,22MS,EXCELSIOR SPRINGS
DUCKHORN WINE COMPANY,945749410,246707,22S,ST. HELENA
DUGGANS DISTILLERS PRODUCTS CORPORATION,109131173,131366,LS,BLAUVELT
DUMBASS WHISKEY LLC,074441854,262261,LS,POMPTON PLAINS
DUMOL WINERY LLC,954927759,247630,22S,WINDSOR
DUNHAM CELLARS LLC,993627400,208524,22S,WALLA WALLA
DURSO HILLS WINERY LLC,636550000,158334,DOMW,MARQUAND
DUVEL MOORTGAT USA, LTD.,133261169,267109,LS,COOPERSTOWN
DV SPIRITS LLC,787047250,240302,LS,AUSTIN
E. & J. GALLO WINERY,953542760,13867,LS,MODESTO
EAGLE EYE IMPORTS - ILLINOIS LLC,483042376,271562,22S,BLOOMFIELD HILLS
EARTHBOUND BREWING LLC,631183036,227443,MICB,ST. LOUIS
EAST FORTY BREWING LLC,640153613,261548,22MS,BLUE SPRINGS
EAUX DE VIE INC.,631042941,155864,MICB,ST. LOUIS
EAUX DE VIE INC.,631042941,176000,LMS,ST. LOUIS
EBERLE WINERY LTD.,934467302,50406,22S,PASO ROBLES
ECLIPSE ASSETS LLC,945150000,240010,22S,CALISTOGA
EDG CLIF WINERY LLC,636640000,202849,DOMW,POTOSI
EDG-CLIF BREWERY LLC,636640000,227421,22MS,POTOSI
EDRINGTON GROUP USA LLC, THE,100104216,236285,LS,NEW YORK
EGG BREWING LLC,64108,274373,MICB,KANSAS CITY
EIGHT BOTTLES LLC,949495763,223117,LS,NOVATO
EKEKO DISTRIBUTION INC.,770073038,230867,LS,HOUSTON
EL SEGUNDO BREWING CO.,902453801,273967,22S,EL SEGUNDO
ELDERBLOSSOM VIEW LLC,650631405,252506,DOMW,NEW BLOOMFIELD
EMERSON BROWN LLC,945740000,252772,22S,ST. HELENA
EMPSON (USA) INC.,223143004,83731,LS,ALEXANDRIA
EMPYREAN BREWING CO.,685081331,205446,22S,LINCOLN
ENOS VINEYARDS INC.,954720000,208932,22S,SEBASTOPOL
ENOTEC IMPORTS INC.,80111,279228,LS,GREENWOOD VILLAGE
ENOVATION BRANDS INC.,331802804,242848,LS,AVENTURA
ERIK MILLER WINES INC.,954489714,272510,22S,HEALDSBURG
ESSER WINES LLC,954031088,241788,22S,SANTA ROSA
ETHYL AMBROSIA LLC,787371937,272422,22S,AUSTIN
EU IMPORTS LLC,954769590,217967,22S,SONOMA
EVAKI INC,93401,270322,22S,SAN LUIS OBISPO
EVATON INC.,069012202,280033,LS,STAMFORD
EVESHAM WOOD VINEYARD & WINERY LLC,973049703,200787,22S,SALEM
EXCEL BOTTLING COMPANY,622301805,254105,22S,BREESE
EXPERIENCE WINES LLC,954032049,272500,22S,SANTA ROSA
F & F FINE WINES INTERNATIONAL INC.,069020000,218466,22S,STAMFORD
F & R WINE IMPORTS LLC,631192945,247894,22S,WEBSTER GROVES
F.B. MCDONALD IMPORTS INC.,816112469,231749,22S,ASPEN
F.L. NAVARRO LIMITED,112013807,246631,22S,BROOKLYN
F.X. MAGNER SELECTIONS INC,015454030,281126,LS,SHREWSBURY
FABLEIST WINE COMPANY, THE,934465988,258537,22S,PASO ROBLES
FAMILY & FARMERS LLC,945583033,274154,22S,NAPA
FAMOUS BRANDS LLC,774015344,255079,LS,BELLAIRE
FARM AND SPIRIT INC,63090,271481,LMS,WASHINGTON
FASEL SHENSTONE LLC,981337009,225752,22S,SEATTLE
FELIX SOLIS AVANTIS USA INC.,945587533,225530,22S,NAPA
FENCE STILE LLC,64024,277845,LMS,EXCELSIOR SPRINGS
FERMENTED PROJECTS LLC,63143,269695,22MS,MAPLEWOOD
FERMENTED SCIENCES II, INC.,930037935,273648,22S,VENTURA
FETZER VINEYARDS,954499813,250499,LS,HOPLAND
FIELDS & IVY BREWING COMPANY LLC,660464908,267381,22S,LAWRENCE
FIERI ENTERPRISES LLC,954484406,240881,22S,HEALDSBURG
FIFTH GENERATION INC.,787199769,171568,LS,AUSTIN
FIGGINS ESTATE, LLC,993629525,263822,22S,WALLA WALLA
FINO TEQUILA, LLC,920106651,272899,LS,CARLSBAD
FIOR DI SOLE LLC,945587541,251392,22S,NAPA
FIRE TAIL BRANDS LLC,633671853,188127,LS,LAKE ST. LOUIS
FIRESTONE WALKER INC.,934463993,254448,22S,PASO ROBLES
FISHER VINEYARDS,954049692,163439,22S,SANTA ROSA
FITVINE LLC,952429497,253047,22S,LODI
FIVE GRAPES LLC,201660000,228050,22S,STERLING
FIVE STAR BREWING COMPANY INC.,891131354,192486,22S,LAS VEGAS
FLAG CITY BREWING LLC,648702102,256125,MICB,WEBB CITY
FLANEUR WINES LLC,971119673,273237,22S,CARLTON
FLATBRANCH BREWING INC.,652014230,78271,MICB,COLUMBIA
FLORA SPRINGS WINE COMPANY,945741611,78217,22S,ST HELENA
FLORIDA WINERY INC.,652832177,226973,22MS,FLORIDA
FN CELLARS LLC,945620000,240123,22S,OAKVILLE
FOLEY FAMILY WINES INC.,95403,188186,LS,SANTA ROSA
FOLIO WINE COMPANY LLC,945587577,209529,LS,NAPA
FORISTELL ENTERPRISES LLC,633905123,228076,22MS,WRIGHT CITY
FORMAN, RICHARD,945749613,186802,22S,ST. HELENA
FORT ROSS VINEYARD & WINERY LLC,954030000,253507,22S,SANTA ROSA
FORTH DRY CREEK ESTATE LLC,954484435,190047,22S,HEALDSBURG
FOUNDRY DISTILLING COMPANY LLC,502654458,265419,LS,WEST DES MOINES
FOUNTAIN CITY WINERY LLC,64101,270482,DOMW,KANSAS CITY
FOUR BROTHERS MEAD LLC,63028,262037,DOMW,FESTUS
FOUR HORSES & A DOG LLC,640248406,223309,DOMW,EXCELSIOR SPRINGS
FOUR ROSES DISTILLERY, LLC,403429734,179769,LS,LAWRENCEBURG
FRANCIS COPPOLA WINERY, LLC,954419325,168435,22S,GEYSERVILLE
FRANK FAMILY VINEYARDS LLC,945159675,172401,22S,CALISTOGA
FRANK-LIN DISTILLERS PRODUCTS LTD.,945339734,105629,LS,FAIRFIELD
FREDERICK WILDMAN & SONS LTD.,100063957,239314,LS,NEW YORK
FREE STATE BREWING CO., INC.,660442236,186627,22S,LAWRENCE
FREEMAN FAMILY WINERY LLC,954723031,198561,22S,SEBASTOPOL
FREIXENET MIONETTO USA INC.,106011719,265418,22S,WHITE PLAINS
FRESH GRAPES, LLC,945587541,271428,22S,NAPA
FREY VINEYARDS LTD.,954706135,68293,22S,REDWOOD VALLEY
FRIAS FAMILY VINEYARD, INC.,94515,276993,22S,CALISTOGA
FRIENDSHIP BREWING COMPANY LLC,633851700,233586,MICB,WENTZVILLE
FRINGE BEERWORKS TAPROOM LLC,64063,243225,MICB,LEE'S SUMMIT
FRINGE BEERWORKS TAPROOM, LLC,64063,269339,22MS,LEE'S SUMMIT
FRITZ CELLARS INC.,954259742,155142,22S,CLOVERDALE
FRONT ROW PROPERTY LLC,658062023,273001,LMS,SPRINGFIELD
FROST WINES LLC,148370000,258213,22S,DUNDEE
FRUIT OF THE VINES, INC.,111015960,180822,22S,LONG ISLAND CITY
FS BEVERAGES LLC,07920,276854,5S,BASKING RIDGE
FUTURE PROOF BRANDS LLC,787212465,266606,22S,AUSTIN
G.K. SKAGGS INC.,926187450,190594,22S,IRVINE
G.S.W.C. INC.,914061711,238640,LS,VAN NUYS
GAMBLE FAMILY VINEYARDS LLC,945629849,270573,22S,OAKVILLE
GAMBRINUS COMPANY, THE,782323735,178896,22S,SAN ANTONIO
GANDONA INC.,945740000,229270,22S,ST. HELENA
GARGOYLE ENTERPRISES INC.,802233223,250498,LS,DENVER
GC WINE COMPANY, LLC,971012416,280029,22S,AMITY
GELOSO BEVERAGE GROUP, LLC,146261033,259556,22S,ROCHESTER
GEORGETOWN TRADING CO., LLC,200061631,267684,LS,WASHINGTON
GERMAN WINE COLLECTION, LLC,920106706,269927,LS,CARLSBAD
GJS SALES, INC,532041549,268920,22S,MILWAUKEE
GLASS REVOLUTION IMPORTS USA LLC,891238042,266213,LS,LAS VEGAS
GLJR WINE, LLC,945586280,273653,22S,NAPA
GLOBAL SPIRITS USA LLC,100054401,242732,LS,NEW YORK
GLOBAL UNIVERSAL SRL,535662036,227574,LS,MONROE
GLOBAL VINEYARD, THE,947101459,131800,22S,BERKELEY
GO AMERICA GO LLC,057700000,236916,LS,SHOREHAM
GOAT BREWING COMPANY LLC, THE,640865540,273406,22MS,LEES SUMMIT
GOLDEN GLASS WINE LLC,853813542,280361,LS,PEORIA
GOLDEN ROCK WINERY LLC,650202649,196453,22MS,CAMDENTON
GOLDRIDGEPINOT.COM LLC,954726470,280901,22S,SEBASTOPOL
GOLDSCHMIDT VINEYARDS LLC,954483820,152096,22S,HEALDSBURG
GOOD BOY VODKA,491204046,271431,LS,NILES
GOOD NEWS BREWING COMPANY LLC,63366,245665,MICB,O'FALLON
GOOD NEWS DEFIANCE LLC,63341,260762,MICB,DEFIANCE
GOOD OMEN BOTTLING LLC,863264180,260728,22S,COTTONWOOD
GOOD SPIRITS DISTILLING LLC,660625404,263456,LS,OLATHE
GOOSE RIDGE LLC,993208568,177705,22S,BENTON CITY
GORDON BIERSCH BREWING COMPANY,951123105,271714,5S,SAN JOSE
GORDON BROTHERS CELLARS, INC.,993019711,186887,22S,PASCO
GRAINS & TAPS LLC,64063,270614,22MS,LEE'S SUMMIT
GRAND PRIX BEVERAGE LLC,631113653,208805,LS,ST. LOUIS
GRANITE CITY, INC,63141,270343,MICB,CREVE COEUR
GRANITE CITY, INC.,641531842,270168,MICB,KANSAS CITY
GRAPE EXPECTATIONS, INC.,948012112,260247,22S,RICHMOND
GRAPES & BARLEY LLC,207051273,251828,22S,BELTSVILLE
GRAPES OF HELD WINERY & VINEYARD, LLC,639390239,193585,DOMW,FAIRDEALING
GRAPES OF SPAIN INC.,220791522,179928,22S,LORTON
GRATON SPIRITS COMPANY LLC,954449373,249115,LS,GRATON
GRAZIANO, GREGORY,954709695,224078,22S,REDWOOD VALLEY
GREAT DIVIDE BREWING COMPANY,802052512,163809,22S,DENVER
GREAT ESCAPE BEER WORKS LLC,65804,258637,MICB,SPRINGFIELD
GREEN RIVER DISTILLING COMPANY LLC,423011422,281340,LS,OWENSBORO
GREEN RIVER SPIRITS CHARLESTON LLC,294566772,281339,LS,NORTH CHARLESTON
GREEN ROOM BURGERS & BEER LLC,641113010,210058,MICB,KANSAS CITY
GREG & GREG INC.,954722628,271012,22S,SEBASTOPOL
GRGICH HILLS CELLAR,945730450,49258,22S,RUTHERFORD
GRIEB OPTIMAL WINECRAFTING LLC,989519682,279345,22S,WAPATO
GRIESEDIECK BROTHERS BREWERY CORP.,631471840,230438,LS,ST. LOUIS
GRIESEDIECK BROTHERS BREWERY CORPORATION,631471840,256278,22MS,ST. LOUIS
GRIMM'S TREE BREWING LLC,630550000,269533,22MS,LABADIE
GRINDSTONE VALLEY WINERY LLC,644740000,229051,22MS,OSBORN
GROS VENTRE CELLARS LLC,954927861,268353,22S,WINDSOR
GROTH VINEYARDS & WINERY LLC,945620390,115472,22S,OAKVILLE
GROUNDED WINE PROJECT, LLC,93401,279838,22S,SAN LUIS OBISPO
GT'S LIVING FOODS LLC,900582116,252546,5S,VERNON
GUARACHI WINE PARTNERS INC.,913641224,100554,22S,WOODLAND HILLS
GV LIQUID GROUP, INC, THE,897060838,271279,22S,CARSON CITY
HAAS BROTHERS INC.,941111422,240301,LS,SAN FRANCISCO
HAHN ESTATE,939600000,239576,22S,SOLEDAD
HALBY MARKETING INC.,954420000,264058,LS,GLEN ELLEN
HALCYON SYNDICATE LTD. LLC,941335810,246400,LS,SAN FRANCISCO
HALL WINES LLC,945742200,145075,22S,ST. HELENA
HALTER WINERY LLC,934468798,267184,22S,PASO ROBLES
HAMMLER WINE CORP.,939249372,238006,22S,CARMEL VALLEY
HANATORO WINERY LLC,974013238,244360,22S,EUGENE
HAND PICKED SELECTIONS INC.,201864349,103669,22S,WARRENTON
HANDCRAFTED WINES, LLC,662191720,259555,LS,LENEXA
HARBINGER LLC,641081820,242924,MICB,KANSAS CITY
HARD TRUTH DISTILLING COMPANY LLC,47448,278079,LS,NASHVILLE
HAROZA SELECT WINES LLC,554101510,265755,22S,MINNEAPOLIS
HARPOON DISTRIBUTING COMPANY INC.,022102324,259278,22S,BOSTON
HARRIS, RENNICK & MARILYN,945620323,167887,22S,OAKVILLE
HARRISTHAL WINERY LLC,657217152,251331,22MS,OZARK
HARROW CELLARS,954037416,279834,22S,SANTA ROSA
HAWAII SEA SPIRITS LLC,967900000,240344,LS,KULA
HAYKIN FAMILY CIDERY LLC,800100000,273386,22S,AURORA
HBC, LLC,804038058,272893,22S,GOLDEN
HEART OF AMERICA BEVERAGE COMPANY, LLC,658024579,256835,LS,SPRINGFIELD
HEARTLAND BEVERAGE LTD.,641451526,43371,LS,KANSAS CITY
HEARTLAND DISTILLERS, LLC,46256,277280,LS,INDIANAPOLIS
HEAVEN HILLS SALES COMPANY,400042229,252228,LS,BARDSTOWN
HEAVY RIFF BREWING COMPANY LLC,631393305,269922,22MS,ST. LOUIS
HEINEKEN USA INC,106011841,269608,22S,WHITE PLAINS
HEINRICHSHAUS INC.,655598495,120088,DOMW,ST JAMES
HEITZ WINE CELLARS,945749537,263477,22S,ST. HELENA
HEMILANE,902454110,281341,LS,EL SEGUNDO
HEMINGWAY RUM COMPANY LLC,338111853,239776,LS,LAKELAND
HEMISPHERES LLC,934465980,258991,22S,PASO ROBLES
HEMMAN WINERY LLC,63737,270911,22MS,BRAZEAU
HENDRY PREMIUM IMPORTS INC.,600143552,178620,22S,CRYSTAL LAKE
HENDRY, GEORGE O.,945589706,212179,22S,NAPA
HENRIOT INC,100114635,186141,22S,NEW YORK
HENRY STEELE IMPORTS LLC,631418157,269865,LS,ST. LOUIS
HERITAGE DISTILLING COMPANY INC.,983357586,255372,LS,GIG HARBOR
HERITAGE ROAD VINTNERS LLC,945587516,233932,22S,NAPA
HERITAGE WINE CELLARS LTD.,607143306,202141,LS,NILES
HERMANNHOF INC.,650411116,184834,22MS,HERMANN
HERMANNHOF INC.,650411138,213640,22MS,HERMANN
HESS COLLECTION WINERY,945589708,67069,22S,NAPA
HIDALGO IMPORTS LLC,331663317,248032,22S,MIAMI
HIGH LIFE SALES COMPANY,641451526,232114,LS,KANSAS CITY
HIGH PLAINS INC.,660026106,258804,LS,ATCHISON
HILL FOOD SERVICE LLC,631352716,189829,MICB,FERGUSON
HIRSCH WINERY LLC,954219659,180216,22S,CAZADERO
HOFBRAUHAUS OF AMERICA LLC,890525972,253618,22S,HENDERSON
HOFFMANN MT. PLEASANT WINERY LLC,633321652,279393,22MS,AUGUSTA
HOLY GRAIL WINERY LLC,633573160,254102,DOMW,MARTHASVILLE
HONEYWOOD INC.,973022521,184678,LS,SALEM
HOOD RIVER DISTILLERS, INC.,970311177,138807,LS,HOOD RIVER
HOOPES, SPENCER W.,945620000,238889,22S,OAKVILLE
HOOVER VINTNERS, LLC.,650412300,191282,22MS,HERMANN
HOP BUTCHER FOR THE WORLD LLC,606386129,281631,22S,BEDFORD PARK
HOPE WINE LLC,945586221,212487,22S,NAPA
HOPEWELL BRIDGE WINERY LLC,65785,280243,22MS,STOCKTON
HOPEWELL VIEWS HUNTING CLUB INC.,623703308,207186,22S,ROCKPORT
HORST VINEYARDS LLC,655480000,184835,DOMW,MOUNTAIN VIEW
HOTALING & CO., LLC,941116508,262740,LS,SAN FRANCISCO
HOURGLASS WINE COMPANY INC.,945159649,219180,22S,CALISTOGA
HOUSE OF BURGUNDY INC., THE,10036,216819,LS,NEW YORK
HOUSE OF JENNY, LLC,977599762,272550,22S,SISTERS
HPSEPICUREAN LLC,920651889,264057,LS,RAMONA
HQ WINERY LLC,94558,269551,22S,NAPA
HUMMINGBIRD VINEYARD & WINERY LLC,652656834,244181,DOMW,MEXICO
HUNEEUS WINES LLC,945730505,269850,22S,RUTHERFORD
HUNGRY HOLLOW BREWING COMPANY LLC,656258355,245624,22MS,CASSVILLE
HUNTER VALLEY WINERY LLC,637017801,195404,22MS,CAPE GIRARDEAU
IDEAL WINE & SPIRITS COMPANY INC.,021556903,142927,22S,MEDFORD
IDEALINE MARKETING AND PRODUCTS INC.,641163502,259566,22MS,NORTH KANSAS CITY
ILLYRIAN IMPORT INC.,483061527,248285,LS,ROCHESTER
INDBEVERAGES LLC,90212,277831,LS,BEVERLY HILLS
INDIAN PEAKS BREWING CO.,805015809,172001,22S,LONGMONT
INDIAN SPRINGS BREWING COMPANY LLC,648501810,246662,22MS,NEOSHO
INDIAN SPRINGS BREWING COMPANY LLC,648507936,246664,22MS,NEOSHO
INDIGENOUS SELECTIONS LLC,333061905,175171,22S,FORT LAUDERDALE
INDIGO WINE GROUP LLC,342855532,169750,22S,VENICE
INFINITE MONKEY THEOREM, THE,802052314,236136,22S,DENVER
INFINIUM SPIRITS INC.,92101,242177,LS,SAN DIEGO
INNOVINO INTERNATIONAL INC.,333212954,246706,22S,TAMARAC
INTERACTIONS AND TRANSACTIONS INC.,945591927,238990,LS,NAPA
INTERCONTINENTAL PACKAGING COMPANY,55120,277830,LS,MENDOTA HEIGHTS
INTERCONTINENTAL PACKAGING COMPANY,185170000,280750,22S,TAYLOR
INTERNATIONAL CELLARS LLC,201669578,248989,22S,STERLING
INTERNATIONAL DISTILLERS & VINTERS LTD.,982036030,246986,LS,EVERETT
INTERTRADE USA COMPANY,600893621,184993,LS,BUFFALO GROVE
INTERVINE INC,94558,280860,22S,NAPA
IONIA ATLANTIC IMPORTS LLC,63043,176479,22S,MARYLAND HEIGHTS
IRON KETTLE BREWING LLC,640299701,272609,22MS,GRAIN VALLEY
ISHAMS ORDINARY LLC,65201,253684,LMS,COLUMBIA
J CREEK, LLC,640799335,267730,22MS,PLATTE CITY
J. LOHR WINERY CORPORATION,951262739,40974,22S,SAN JOSE
J. PEDRONCELLI WINERY,954419638,163212,22S,GEYSERVILLE
J.W. THOMAS, LLC,945599715,280614,22S,NAPA
JACK POUST & COMPANY INC.,101700499,205162,22S,NEW YORK
JACKALOPE CELLARS LLC,971159021,265683,22S,DUNDEE
JACKSON FAMILY ENTERPRISES INC.,954031069,199573,22S,SANTA ROSA
JACKSON STREET BREW CO., LLC,637751336,239653,MICB,PERRYVILLE
JACOB RIEGER & COMPANY LLC,641201501,262923,LMS,KANSAS CITY
JAM CELLARS INC.,945586202,244414,22S,NAPA
JANDELL SELECTIONS LTD.,106013554,206651,LS,WHITE PLAINS
JARVIS,945589615,211123,22S,NAPA
JAX VINEYARDS LLC,941071812,191420,22S,SAN FRANCISCO
JC-ARANDAS INC.,640298642,176604,LS,GRAIN VALLEY
JDSO INC.,503137700,269970,LS,DES MOINES
JDW MANAGEMENT LLC,648659491,271538,MICB,SENECA
JEAN CLAUDE BOISSET WINES USA INC.,945741645,219435,LS,ST. HELENA
JEFFERSON COUNTY CIDER WORKS LLC,525568622,281338,22S,FAIRFIELD
JEM BEVERAGE COMPANY LLC,762584189,244077,LS,PILOT POINT
JFC INTERNATIONAL INC.,601335477,121476,22S,HANOVER PARK
JIM BEAM BRANDS CO.,606541103,225198,LS,CHICAGO
JINRO AMERICA INC.,907032315,240523,LS,CERRITOS
JOHN ANTHONY VINEYARDS LLC,945580000,244416,22S,NAPA
JOKER'S JUICE LLC,752252840,281634,LS,DALLAS
JOLLY FOX BREWERY, LLC, THE,667625205,268509,22S,PITTSBURG
JOSEPH PHELPS VINEYARDS LLC,945749544,166421,22S,ST. HELENA
JOSEPH VICTORI WINES INC.,117433317,111759,22S,HUNTINGTON
JUJU LABS INC,65559,279601,22MS,ST JAMES
JUJU LABS INC,65559,279609,LS,ST JAMES
JUSTIN VINEYARDS & WINERY LLC,934469792,197210,22S,PASO ROBLES
JVW CORPORATION,954489003,174317,22S,HEALDSBURG
KALEIDOSCOPE COFFEE ROASTERS LLC,63701,275655,22MS,CAPE GIRARDEAU
KALEIDOSCOPE COFFEE ROASTERS LLC,63703,275656,22MS,CAPE GIRARDEAU
KAMEN WINES LLC,954762805,177539,22S,SONOMA
KANSAS CITY BIER COMPANY LLC,641141843,257710,22MS,KANSAS CITY
KANSAS CITY CIDER COMPANY LLC,64501,248080,DOMW,ST. JOSEPH
KANSAS TERRITORY BREWING CO.,669681908,239882,22S,WASHINGTON
KANZLER VINEYARDS LLC,954722662,250761,22S,SEBASTOPOL
KATY BREWING COMPANY,63376,244147,MICB,ST. PETERS
KBK BOTTLING, LLC,66223,271997,LS,OVERLAND PARK
KC PUMPKIN PATCH LLC,660619600,268510,22S,OLATHE
KC WINEWORKS LLC,641081817,236027,DOMW,KANSAS CITY
KC WINEWORKS, LLC,635523526,225126,DOMW,MACON
KEESAMAN, REBECCA A.,644740000,201485,DOMW,OSBORN
KELTOI VINEYARD LLC,648559129,254441,22MS,ORONOGO
KENTUCKY BOURBON DISTILLERS LTD.,400042200,199104,LS,BARDSTOWN
KERMIT LYNCH WINE MERCHANT,947021317,66956,22S,BERKELEY
KERWIN ESTATE LLC,945151804,258989,22S,CALISTOGA
KEVIN WHITE WINES LLC,980728281,271014,22S,WOODINVILLE
KIMBERTON WINES LLC,94558,279841,22S,NAPA
KING DAVID'S WINERY LLC,639019691,236473,DOMW,POPLAR BLUFF
KING DAVID'S WINERY LLC,63901,279738,MICB,POPLAR BLUFF
KING ESTATE WINERY LIMITED PARTNERSHIP,974059715,118009,22S,EUGENE
KINSELLA ESTATES WINERY LLC,954484838,230354,22S,HEALDSBURG
KISMET WINE INC.,954769292,257110,22S,SONOMA
KITFOX VINEYARDS LLC,954729782,200051,22S,SEBASTOPOL
KLEIN FOODS INC.,954489523,49912,22S,HEALDSBURG
KLINKER BRICK WINERY INC.,952409331,235883,22S,LODI
KNIGHTS BRIDGE WINERY, LLC,945151701,271998,22S,CALISTOGA
KOBRAND CORPORATION,105772100,13897,LS,PURCHASE
KOVAL INC.,606131199,193332,LS,CHICAGO
KREBS BREWING CO., INC.,745018846,252815,22S,MCALESTER
KROOKED MOON DISTILLERY LLC,65066,265480,LMS,OWENSVILLE
KRUTZ FAMILY CELLARS LLC,954031917,273873,22S,SANTA ROSA
KUENZEL VALLEY WINERY LLC,630682335,203421,DOMW,NEW HAVEN
KYSELA PERE ET FILS LTD.,226024566,173306,LS,WINCHESTER
LA GRANJA WINERY INC.,934467613,229630,22S,PASO ROBLES
LABATT USA OPERATING CO LLC,142033079,246636,22S,BUFFALO
LABELLA WINERY LLC,640978100,196513,DOMW,WELLINGTON
LACHANCE VINEYARDS LLC,630204779,223374,DOMW,DE SOTO
LADOGA RIDGE VINEYARD & WINERY LLC,640898739,197179,22MS,SMITHVILLE
LAGOSTA WINE CO., LLC,954030000,273391,22S,SANTA ROSA
LAGUNITAS BREWING COMPANY, THE,949541113,235216,22S,PETALUMA
LAIRD & COMPANY,077249724,57959,LS,SCOBEYVILLE
LAIRD FAMILY ESTATE LLC,945581326,184824,22S,NAPA
LAKE BUMS BREWCO LLC,65729,273562,MICB,PONTIAC
LAKE CREEK WINERY LLC,633572292,243314,22MS,MARTHASVILLE
LAKE OF THE OZARKS BREWING COMPANY LLC,650653336,263193,MICB,OSAGE BEACH
LAMBS AND VINES WINERY, INC.,657460000,217506,DOMW,SEYMOUR
LAND OF RICHES, LLC,945592101,278372,22S,NAPA
LANGDON SHIVERICK INC.,900142004,176087,22S,LOS ANGELES
LANGE WINERY LLC,971159771,235269,22S,DUNDEE
LANGMAN ESTATE WINERY LLC,956678881,256956,22S,PLACERVILLE
LASZLO CORPORATION,633047119,188634,22MS,ST. PETERS
LATITUDE BEVERAGE COMPANY,105280000,269553,LS,HARRISON
LAURENT-PERRIER US, INC.,111011636,110242,22S,LONG ISLAND CITY
LAWLESS DISTILLING COMPANY LLC,55406,271790,LS,MINNEAPOLIS
LAWRENCE BEER COMPANY LLC,660443166,267383,22S,LAWRENCE
LAZY MAGNOLIA BREWING CO., LLC,395568000,220604,22S,KILN
LCF WINE COMPANY LLC,952209187,256778,22S,ACAMPO
LDF SALES & DISTRIBUTING INC.,672264536,258777,22S,WICHITA
LDM WINES, INC,10013,268809,22S,NEW YORK
LE CEP II INC.,97111,269540,22S,CARLTON
LEAKY ROOF MEADERY LLC,656224500,219829,22MS,BUFFALO
LEELANAU WINE CELLARS LTD.,496740000,277925,22S,OMENA
LEFGROUP LLC,288032396,281449,22S,ASHEVILLE
LEMMON TREE IMPORTS, LLC,322469921,280752,LS,JACKSONVILLE
LEONARD KREUSCH INC.,076472406,85819,LS,NORTHVALE
LEONARD WINE COMPANY LLC,945584732,234957,22S,NAPA
LEONARDINI FAMILY WINERY LLC,945749775,210624,22S,ST. HELENA
LEONETTI CELLAR LLC,993629052,226937,22S,WALLA WALLA
LES BOURGEOIS VINEYARDS INC.,65279,266723,LMS,ROCHEPORT
LEVECKE CORPORATION,917523235,111624,LS,MIRA LOMA
LEWIS, KENNETH W.,636708754,199577,DOMW,STE. GENEVIEVE
LF WINES LLC,954927706,248869,22S,WINDSOR
LIDESTRI BEVERAGES LLC,146064250,261245,LS,ROCHESTER
LIFTED SPIRITS DISTILLATION LLC,64108,268816,LMS,KANSAS CITY
LILE WINE LLC,641113667,220514,LS,KANSAS CITY
LIME VENTURES,945208552,273079,22S,CONCORD
LIMERICK LANE CELLARS INC.,954489537,247766,22S,HEALDSBURG
LIMITLESS BREWING LLC,662151260,279463,22S,LENEXA
LINCOLN SQUARE WINE COMPANY LLC,93446,243510,22S,PASO ROBLES
LINDWEDEL WINE GARDEN LLC,656166136,190656,22MS,BRANSON
LINGUA FRANCA LLC,973049714,267487,22S,SALEM
LION NATHAN USA INC.,662102151,196759,22S,OVERLAND PARK
LLAURADOR WINES LLC,949301637,247846,22S,FAIRFAX
LMR WINE ESTATES LLC,945749807,272423,22S,ST. HELENA
LO-FI WINES LLC,934279580,268004,22S,BUELLTON
LOCAL CHOICE INC.,294928411,274637,LS,CHARLESTON
LOEST AND MCNAMEE INC.,191394526,162345,22S,PHILADELPHIA
LOGBOAT BREWING COMPANY LLC,652014782,220648,MICB,COLUMBIA
LOHR DISTRIBUTING COMPANY, INC.,631043511,194578,LS,ST. LOUIS
